timeStamp,Price,Open,High,Low,Vol.,Change %
15-Feb-16,"6,266.17","6,297.61","6,302.63","6,265.71",16.71M,-0.27%
12-Feb-16,"6,283.00","6,315.10","6,322.65","6,280.14",12.86M,-0.50%
11-Feb-16,"6,314.82","6,369.55","6,370.85","6,313.59",16.37M,-0.78%
10-Feb-16,"6,364.40","6,374.14","6,380.10","6,364.40",7.15M,-0.13%
9-Feb-16,"6,372.71","6,401.32","6,401.66","6,372.71",8.09M,-0.45%
8-Feb-16,"6,401.66","6,405.36","6,418.91","6,394.07",9.24M,-0.05%
5-Feb-16,"6,404.64","6,396.35","6,417.85","6,396.27",7.26M,0.03%
3-Feb-16,"6,402.80","6,430.01","6,438.62","6,398.97",11.22M,-0.36%
2-Feb-16,"6,425.96","6,363.75","6,434.11","6,363.18",331.03M,0.99%
1-Feb-16,"6,363.18","6,343.14","6,378.22","6,340.05",9.26M,0.36%
29-Jan-16,"6,340.05","6,319.86","6,361.37","6,319.86",10.03M,0.32%
28-Jan-16,"6,319.89","6,316.79","6,333.41","6,314.91",10.64M,0.05%
27-Jan-16,"6,316.46","6,329.11","6,331.28","6,311.39",29.92M,-0.10%
26-Jan-16,"6,322.87","6,357.28","6,372.23","6,322.87",39.63M,-0.50%
25-Jan-16,"6,354.83","6,393.60","6,394.63","6,342.09",15.47M,-0.43%
22-Jan-16,"6,382.24","6,354.81","6,409.43","6,349.71",73.45M,0.51%
21-Jan-16,"6,349.71","6,263.82","6,373.02","6,261.18",32.26M,1.41%
20-Jan-16,"6,261.18","6,286.80","6,319.71","6,261.18",27.41M,-0.35%
19-Jan-16,"6,283.24","6,324.19","6,349.83","6,235.13",39.80M,-0.65%
18-Jan-16,"6,324.61","6,449.43","6,466.47","6,321.89",27.95M,-1.89%
14-Jan-16,"6,446.20","6,556.17","6,563.16","6,446.20",38.91M,-1.65%
13-Jan-16,"6,554.37","6,534.13","6,587.24","6,532.26",21.10M,0.31%
12-Jan-16,"6,534.35","6,649.95","6,650.64","6,527.39",30.11M,-1.74%
11-Jan-16,"6,650.32","6,726.71","6,726.71","6,649.07",20.24M,-1.13%
8-Jan-16,"6,726.28","6,775.28","6,775.28","6,719.80",22.32M,-0.72%
7-Jan-16,"6,775.27","6,818.20","6,820.79","6,774.82",25.17M,-0.62%
6-Jan-16,"6,817.65","6,846.00","6,848.06","6,817.36",67.02M,-0.40%
5-Jan-16,"6,845.30","6,869.05","6,870.74","6,842.77",43.73M,-0.33%
